Department,Count
"OBC, SEBC, VJNT & SBC Welfare Department",19
Social Justice and Special Assistance Department,14
Directorate of Higher Education,14
Department of Agriculture,12
Department of Tribal Development,5
Directorate of Medical Education and Research,4
Directorate of Technical Education,3
Department of Agriculture (Maharashtra Council of Agriculture Education and Research),3
Directorate of Art,2
Department of Animal Husbandry (MAFSU Nagpur),2
School Education and Sports Department,2
"Skill Development, Employment and Entrepreneurship Department",2
Women & Child Development,2
Persons with Disabilities Welfare Department,1
Department of Co-operation,1
Food & Civil Supplies,1
